iter	MultiClass
0	1.945836865
1	1.945814512
2	1.945797412
3	1.945747925
4	1.945726296
5	1.945584772
6	1.945566828
7	1.945538512
8	1.945503759
9	1.945496389
10	1.945464837
11	1.945443637
12	1.945389787
13	1.945363124
14	1.945313174
15	1.945291132
16	1.945267354
17	1.945230596
18	1.945218437
19	1.945213037
20	1.945176146
21	1.945122415
22	1.945114208
23	1.945071995
24	1.945055731
25	1.94502514
26	1.944993873
27	1.944959037
28	1.94494343
29	1.944903004
30	1.944897877
31	1.944866497
32	1.944865226
33	1.944819151
34	1.94481907
35	1.944776097
36	1.944751331
37	1.94471387
38	1.94469784
39	1.944674706
40	1.944672063
41	1.94465555
42	1.944559719
43	1.944538401
44	1.944507406
45	1.944501203
46	1.944435004
47	1.94441793
48	1.944400992
49	1.944347878
50	1.944346853
51	1.944320649
52	1.944304981
53	1.944261056
54	1.944219587
55	1.944219083
56	1.944206631
57	1.944183868
58	1.944106125
59	1.944076892
60	1.943991478
61	1.943900837
62	1.943879292
63	1.943877652
64	1.94382741
65	1.943780444
66	1.943756731
67	1.943728759
68	1.943727419
69	1.943609689
70	1.943560153
71	1.943549989
72	1.943547629
73	1.943444767
74	1.943392976
75	1.943350541
76	1.943322219
77	1.94331446
78	1.943275565
79	1.943128901
80	1.943101832
81	1.943001976
82	1.942976125
83	1.942950565
84	1.942899009
85	1.942866594
86	1.942821786
87	1.942781409
88	1.942772646
89	1.942722302
90	1.942693837
91	1.942662166
92	1.942645083
93	1.942610763
94	1.942586698
95	1.942564668
96	1.942564668
97	1.942558629
98	1.942548493
99	1.942483629
100	1.94242761
101	1.942329341
102	1.942294915
103	1.942277354
104	1.942277354
105	1.94226673
106	1.942249836
107	1.942227611
108	1.942179313
109	1.942152113
110	1.94211367
111	1.942048775
112	1.941990861
113	1.941875546
114	1.941792505
115	1.941792366
116	1.941753681
117	1.941747146
118	1.941715423
119	1.941715422
120	1.941693134
121	1.941681192
122	1.941643667
123	1.941642696
124	1.941606953
125	1.941572341
126	1.941540662
127	1.941490973
128	1.941425476
129	1.941397869
130	1.941389392
131	1.941389122
132	1.941372126
133	1.941333757
134	1.941275518
135	1.941271209
136	1.941271209
137	1.941269302
138	1.941237793
139	1.941209612
140	1.94115628
141	1.941104533
142	1.941091137
143	1.941054927
144	1.941054927
145	1.941028605
146	1.940940724
147	1.940905795
148	1.940905795
149	1.940905795
150	1.940889445
151	1.940885824
152	1.940877549
153	1.940842797
154	1.940834591
155	1.940807986
156	1.940774812
157	1.940755439
158	1.940710797
159	1.940710478
160	1.940649297
161	1.940611288
162	1.940608925
163	1.940556618
164	1.940509164
165	1.940488708
166	1.940427257
167	1.940403846
168	1.940367002
169	1.940353704
170	1.940271909
171	1.940271908
172	1.940242712
173	1.940133856
174	1.940062698
175	1.940045978
176	1.940004758
177	1.939956246
178	1.939956246
179	1.939934598
180	1.939844623
181	1.939812154
182	1.939782306
183	1.939771189
184	1.939757342
185	1.939731966
186	1.9396331
187	1.939607308
188	1.939594065
189	1.939556155
190	1.939540387
191	1.939496403
192	1.93946613
193	1.939438813
194	1.939431777
195	1.939407144
196	1.939357577
197	1.939270984
198	1.939270984
199	1.9392298
200	1.939203505
201	1.939131092
202	1.939103776
203	1.939086123
204	1.939057061
205	1.938970104
206	1.938951183
207	1.938908457
208	1.938809407
209	1.93877071
210	1.938770164
211	1.938754533
212	1.938714442
213	1.938605652
214	1.938553761
215	1.938516935
216	1.938458163
217	1.938398143
218	1.938360683
