iter	Passed	Remaining
0	1062	530004
1	1742	433804
2	2335	386937
3	2969	368196
4	3446	341190
5	4102	337813
6	4598	323849
7	5107	314101
8	5741	313244
9	6045	296235
10	6569	292045
11	7062	287198
12	7643	286321
13	8226	285574
14	8769	283546
15	9291	281080
16	9817	278935
17	10413	278842
18	11007	278659
19	11404	273697
20	12005	273837
21	12709	276143
22	13258	274968
23	13763	272969
24	14290	271510
25	14815	270102
26	15362	269125
27	15942	268740
28	16407	266488
29	16895	264693
30	17448	263974
31	18028	263672
32	18239	258117
33	18798	257653
34	18948	251746
35	19498	251315
36	20048	250873
37	20551	249863
38	21091	249312
39	21621	248645
40	21995	246246
41	22538	245779
42	23100	245504
43	23617	244763
44	24211	244809
45	24682	243605
46	25223	243108
47	25686	241883
48	26183	240994
49	26780	241028
50	27049	238145
51	27594	237735
52	28156	237470
53	28709	237122
54	29263	236767
55	29474	233689
56	29942	232708
57	30397	231650
58	30922	231131
59	31484	230882
60	32024	230473
61	32587	230212
62	33152	229961
63	33450	227882
64	33989	227466
65	34480	226732
66	35087	226760
67	35860	227817
68	36239	226362
69	36956	227017
70	37646	227470
71	38292	227625
72	38804	226980
73	39464	227186
74	40281	228264
75	40998	228727
76	41533	228163
77	42009	227281
78	42528	226638
79	43236	226994
80	43838	226771
81	44428	226477
82	45002	226097
83	45556	225614
84	46139	225269
85	46652	224583
86	47253	224319
87	47803	223806
88	48282	222966
89	49026	223343
90	49565	222772
91	50202	222635
92	50900	222758
93	51513	222495
94	52084	222045
95	52604	221375
96	52748	219150
97	53273	218531
98	53712	217564
99	54458	217832
100	54999	217273
101	55531	216682
102	56158	216456
103	56684	215836
104	56817	213743
105	57374	213260
106	57858	212508
107	58454	212168
108	59002	211650
109	59529	211059
110	60073	210526
111	60580	209866
112	61149	209425
113	61778	209181
114	62438	209034
115	62660	207427
116	63199	206882
117	63814	206586
118	64415	206237
119	64568	204465
120	65126	203991
121	65716	203612
122	66379	203455
123	66614	201991
124	67204	201613
125	67857	201419
126	68445	201026
127	69075	200751
128	69704	200468
129	70343	200207
130	70910	199740
131	71136	198320
132	71652	197718
133	72258	197361
134	72764	196732
135	72995	195371
136	73120	193742
137	73488	192774
138	74009	192212
139	74568	191748
140	75068	191133
141	75597	190591
142	76144	190096
143	76835	189955
144	76997	188509
145	77545	188021
146	78225	187847
147	78698	187174
148	78843	185733
149	78988	184306
150	79530	183815
151	80020	183204
152	80531	182642
153	81000	181987
154	81593	181610
155	82114	181073
156	82663	180595
157	83185	180059
158	83667	179437
159	83876	178237
160	84342	177591
161	84808	176946
162	85086	175914
163	85621	175419
164	86150	174911
165	86756	174558
166	87291	174059
167	87862	173632
168	88391	173122
169	89090	172940
170	89814	172801
171	89949	171531
172	90452	170970
173	91071	170628
174	91654	170214
175	92224	169777
176	92787	169324
177	93420	168996
178	93563	167786
179	94091	167273
180	94599	166725
181	95088	166142
182	95625	165645
183	96125	165084
184	96597	164476
185	97076	163882
186	97628	163411
187	98164	162911
188	98726	162454
189	99263	161956
190	99799	161456
191	100408	161072
192	100932	160550
193	101512	160117
194	102026	159579
195	102538	159039
196	103011	158439
197	103456	157796
198	103583	156676
199	104060	156091
200	104646	155667
201	105267	155296
202	105760	154733
203	106273	154200
204	106828	153728
205	107388	153262
206	107898	152725
207	108405	152184
208	108981	151739
209	109532	151259
210	109742	150310
211	110281	149816
212	110813	149312
213	111362	148829
214	112134	148642
215	112845	148371
216	113446	147951
217	114101	147599
218	114655	147114
219	115196	146614
220	115805	146197
221	116401	145763
222	117002	145334
223	117510	144789
224	118052	144286
225	118628	143824
226	119147	143292
227	119623	142708
228	120241	142294
229	120841	141857
230	121076	140993
231	121638	140513
232	122236	140073
233	122853	139653
234	123439	139198
235	123965	138672
236	124554	138218
237	125056	137667
238	125627	137191
239	126162	136676
240	126684	136146
241	127264	135678
242	127902	135271
243	128380	134694
244	128954	134217
245	129648	133864
246	130119	133280
247	130596	132703
248	131146	132199
249	131700	131700
250	132270	131216
251	132902	130792
252	133501	130335
253	134085	129861
254	134595	129317
255	135124	128790
256	135635	128247
257	136102	127662
258	136697	127197
259	137308	126746
260	137942	126315
261	138563	125870
262	139273	125505
263	139933	125092
264	140541	124630
265	141142	124163
266	141806	123749
267	142614	123457
268	143178	122952
269	143725	122433
270	145088	122602
271	146079	122449
272	146737	122012
273	147349	121536
274	148096	121169
275	148787	120755
276	149545	120391
277	150162	119913
278	150868	119505
279	151700	119193
280	152612	118940
281	153325	118528
282	153920	118023
283	154661	117629
284	155748	117494
285	156660	117221
286	157637	116992
287	158353	116566
288	159101	116160
289	159814	115727
290	160572	115325
291	161457	115011
292	162132	114543
293	163045	114243
294	163852	113863
295	164606	113444
296	165249	112947
297	166058	112563
298	166865	112173
299	167783	111855
300	168605	111469
301	169512	111137
302	170223	110673
303	171086	110305
304	172050	109999
305	172819	109565
306	173549	109104
307	174264	108632
308	175064	108211
309	175808	107753
310	176543	107288
311	177235	106795
312	177838	106248
313	178704	105856
314	179346	105330
315	180046	104837
316	180726	104330
317	181276	103749
318	181905	103213
319	182587	102705
320	183324	102227
321	183892	101655
322	184530	101120
323	185203	100604
324	185885	100092
325	186637	99616
326	187295	99088
327	187949	98558
328	188542	97996
329	189209	97471
330	190064	97042
331	190741	96519
332	191382	95978
333	192602	95724
334	193307	95210
335	194022	94701
336	194668	94157
337	195281	93596
338	195986	93079
339	196740	92583
340	197435	92059
341	198001	91474
342	198641	90923
343	199148	90311
344	199746	89741
345	200426	89207
346	200951	88604
347	201669	88085
348	202191	87481
349	203117	87050
350	203644	86447
351	204361	85924
352	205014	85374
353	205716	84843
354	206984	84543
355	207774	84043
356	208558	83540
